id, transaction date, posting date, business, amount
74500016020463670840265,2016-01-20,2016-01-21,GAS BAR #1775 CALGARY AB,10.00
74510406021619986730405,2016-01-20,2016-01-21,PAYMENT - THANK YOU / PAIEMENT - MERCI,-10.10
74529006022900339718800,2016-01-21,2016-01-25,WAL-MART STORE#3011 CALGARY AB,10.47
74510406021619986731403,2016-01-21,2016-01-21,PAYMENT - THANK YOU / PAIEMENT - MERCI,-19.35
74510406021619986732401,2016-01-21,2016-01-21,PAYMENT - THANK YOU / PAIEMENT - MERCI,-33.32
74510406021610247499401,2016-01-21,2016-01-21,WWW CASH ADV/AVANCE DE FONDS -0178,33.32
74064496021820184106767,2016-01-21,2016-01-22,STAPLES STORE #54 CALGARY AB,8.88
74064496022820188336005,2016-01-22,2016-01-25,CALGARY TRANSIT CALGARY AB,2.10
74537886023000298417256,2016-01-22,2016-01-25,U CALGARY OLYMPIC OVAL CALGARY AB,12.75
74510406025619988181405,2016-01-22,2016-01-25,PAYMENT - THANK YOU / PAIEMENT - MERCI,-19.45
74510406022610170299405,2016-01-22,2016-01-22,RBC - SERVICE CHARGE,3.50
74537886023000479374573,2016-01-23,2016-01-25,GOOGLE *INNOVATIVELANG GOOGLE.COM/CHNS,73.99
74064496023820183081449,2016-01-23,2016-01-25,CALGARY TRANSIT CALGARY AB,2.10
74500016025461641800819,2016-01-24,2016-01-26,7-ELEVEN 33010 (MKT 28 CALGARY AB,30.00
74537886024000627188254,2016-01-24,2016-01-25,NINTENDO DIGITAL GAMES 800-255-3700 BC,20.00
74537886024000627188601,2016-01-24,2016-01-25,NINTENDO DIGITAL GAMES 800-255-3700 BC,0.96
74537886024000627188643,2016-01-24,2016-01-25,NINTENDO DIGITAL GAMES 800-255-3700 BC,5.24
74510406025619988179409,2016-01-24,2016-01-25,PAYMENT - THANK YOU / PAIEMENT - MERCI,-260.00
74510406025619988180407,2016-01-24,2016-01-25,PAYMENT - THANK YOU / PAIEMENT - MERCI,-126.65
74064496024820166711730,2016-01-24,2016-01-25,STAPLES STORE #54 CALGARY AB,9.90
74064496024820174826157,2016-01-24,2016-01-25,SAIT MC WEB CALGARY AB,50.00
74537886025000164301509,2016-01-25,2016-01-26,GOOGLE *INNOVATIVELANG GOOGLE.COM/CHNS,210.00
74500016025463647336400,2016-01-25,2016-01-26,REAL CDN SUPERSTORE #1 CALGARY AB,80.87
74510406026619985106404,2016-01-25,2016-01-26,PAYMENT - THANK YOU / PAIEMENT - MERCI,-80.87
74064496025820184324804,2016-01-25,2016-01-26,CALGARY TRANSIT CALGARY AB,2.10
74510406027619986254400,2016-01-27,2016-01-27,PAYMENT - THANK YOU / PAIEMENT - MERCI,-16.44
74500016033462665881503,2016-02-02,2016-02-03,LUCKY SUPERMARKET (CAL CALGARY AB,82.37
74500016033463668626416,2016-02-02,2016-02-03,REAL CDN SUPERSTORE #1 CALGARY AB,56.53
74510206036610722299208,2016-02-03,2016-02-05,ATM CASH ADV/AVANCE DE FONDS -9011,102.95
74510406035619987570408,2016-02-04,2016-02-04,PAYMENT - THANK YOU / PAIEMENT - MERCI,-138.90
74500016038463648016758,2016-02-07,2016-02-08,GASBAR #1778 CALGARY AB,25.87
74500016038463648057158,2016-02-07,2016-02-08,REAL CDN. SUPERSTORE # CALGARY AB,44.73
74510206040610719999202,2016-02-07,2016-02-09,ATM CASH ADV/AVANCE DE FONDS -7811,203.00
74510206041610665999205,2016-02-08,2016-02-10,ATM CASH ADV/AVANCE DE FONDS -7558,203.00
74510206039611159399203,2016-02-08,2016-02-08,CASH ABM -SERVICE CHARGE,3.50
74510406039619987087409,2016-02-08,2016-02-08,PAYMENT - THANK YOU / PAIEMENT - MERCI,-102.95
74510406040619985433404,2016-02-09,2016-02-09,PAYMENT - THANK YOU / PAIEMENT - MERCI,-74.10
74510406040710294970408,2016-02-09,2016-02-09,PAYMENT - THANK YOU / PAIEMENT - MERCI,-74.10
74510206041611430399200,2016-02-10,2016-02-10,CASH ABM -SERVICE CHARGE,3.50
74510406041619984914403,2016-02-10,2016-02-10,PAYMENT - THANK YOU / PAIEMENT - MERCI,-128.90
74510206042611060199200,2016-02-11,2016-02-11,CASH ABM -SERVICE CHARGE,3.50
